1,2,3,4,5
3.7559e+05,4.5107e+05,6.8376e+05,5.324e+05,1.8812e+05
26273,33050,51533,42317,16217
63060,75214,1.1458e+05,83016,29115
1.0473e+05,1.2507e+05,1.7477e+05,1.3435e+05,47190
34829,41572,64497,51842,19270
62754,78642,1.2935e+05,1.0642e+05,40127
21965,25044,39312,29149,9564
31595,40613,63224,53462,20488
40721,48148,83889,70489,28585
1.2555e+05,1.534e+05,2.5022e+05,2.1126e+05,85763
33201,41763,67723,53598,21133
1.5868e+05,1.832e+05,2.7558e+05,1.9917e+05,68243
1.07e+05,1.2627e+05,1.8849e+05,1.321e+05,43779
31706,37838,55268,41946,13667
5.8335e+05,7.2183e+05,1.0185e+06,6.9389e+05,2.4779e+05
2.1406e+05,2.3985e+05,3.4674e+05,2.3686e+05,70623
2.3734e+05,2.7289e+05,3.9254e+05,2.6781e+05,84857
88774,1.1061e+05,1.7129e+05,1.2454e+05,45168
71485,83922,1.2776e+05,91352,32401
60926,74205,1.0961e+05,82488,28676
1.1229e+05,1.2422e+05,1.592e+05,1.0365e+05,33273
1.0499e+05,1.1882e+05,1.6389e+05,1.1934e+05,38386
1.7089e+05,2.0192e+05,2.8768e+05,1.9751e+05,66738
1.5843e+05,1.8252e+05,2.7014e+05,1.8512e+05,59087
32095,38848,61881,51664,16821
1.6552e+05,1.8485e+05,2.7836e+05,1.9291e+05,61881
1.4173e+05,1.6675e+05,2.7077e+05,2.0278e+05,66795
1.6439e+05,1.9514e+05,2.9861e+05,2.0798e+05,67579
34294,44028,74082,59691,19639
83756,1.0098e+05,1.6467e+05,1.33e+05,44063
22229,25886,43697,33497,12486
34506,44448,69926,59381,23184
48437,59062,87942,65888,25104
79620,99390,1.4165e+05,97645,36572
1.0078e+05,1.132e+05,1.67e+05,1.1056e+05,38059
1.2943e+05,1.497e+05,2.2002e+05,1.5385e+05,54122
1.7348e+05,2.1445e+05,3.1778e+05,2.2794e+05,87844
50452,62278,1.0896e+05,89959,32857
65293,74579,1.2288e+05,89158,36057
69177,79658,1.2356e+05,89900,33016
62138,72950,1.1091e+05,80794,29705
79992,94968,1.4331e+05,1.079e+05,41284
52795,65387,92509,71589,28535
33264,43476,62308,48846,18278
28713,36967,59528,48954,17523
61703,74641,1.212e+05,92762,32235
48938,58121,91011,68377,25250
1.6885e+05,2.0161e+05,3.063e+05,2.2989e+05,88870
52555,62287,1.0425e+05,83147,29641
71391,87056,1.299e+05,96050,33726
56041,69939,1.0369e+05,80330,29170
43901,53858,80280,62314,24826
33306,41629,67695,56624,20436
1.1036e+05,1.3497e+05,1.9511e+05,1.4948e+05,56778
34698,43540,68017,56061,21139
50083,65988,96875,73688,23161
23447,32293,46584,37186,12987
7.6375e+05,9.1067e+05,1.378e+06,9.0647e+05,2.9444e+05
1.0207e+05,1.2932e+05,1.75e+05,1.2098e+05,35229
80320,1.089e+05,1.4272e+05,1.1077e+05,34784
1.8759e+05,2.3166e+05,2.7587e+05,1.7514e+05,43407
46360,64227,80978,59404,21349
6.3678e+05,7.5698e+05,8.9914e+05,6.0225e+05,1.3926e+05
69783,96918,1.2426e+05,89042,30363
1.9906e+05,2.5896e+05,3.2403e+05,2.2941e+05,69933
47224,64664,88918,70292,23740
51278,67413,93362,68246,23601
55490,67410,97769,70503,25191
62656,81309,1.1417e+05,89236,31471
34366,48018,65336,50846,18796
1.1538e+05,1.4311e+05,1.7744e+05,1.2991e+05,41066
2.2291e+05,2.8163e+05,3.7442e+05,2.7129e+05,79964
1.0142e+05,1.2521e+05,1.6856e+05,1.3052e+05,38294
66249,87579,1.1574e+05,88732,26935
1.3349e+05,1.71e+05,2.3483e+05,1.8224e+05,60597
58305,81269,1.0857e+05,80785,29470
33721,45118,57717,43837,14460
1.1905e+05,1.6118e+05,2.0625e+05,1.5493e+05,49089
61750,82303,1.0274e+05,78395,24160
1.0021e+05,1.2775e+05,1.5225e+05,1.1436e+05,36398
75977,97223,1.2319e+05,94766,30098
2.3956e+05,2.8734e+05,3.5789e+05,2.6269e+05,75504
1.0438e+05,1.3779e+05,1.8379e+05,1.4316e+05,44762
78530,99335,1.2302e+05,92319,30282
48810,61215,74222,54937,16747
28206,37321,46118,36172,12344
2.1247e+05,2.5994e+05,3.1416e+05,2.2315e+05,62907
61104,78364,92154,64213,19766
71860,90367,1.1685e+05,86759,23505
76713,1.0305e+05,1.5745e+05,1.1444e+05,32762
33054,43443,62606,49938,16164
65203,89178,1.4115e+05,1.0011e+05,27204
55294,63662,96465,71321,23760
12653,18765,24321,19954,7461
21758,31614,47917,40372,13313
25924,31555,53562,45722,17407
60586,68823,1.0314e+05,77129,25283
41875,49050,72300,49133,15054
59438,69582,1.0762e+05,74437,25722
48156,55121,79927,54957,18912
33705,42140,47666,34998,10072
28420,37179,44315,33742,11059
24004,29378,49399,39580,13959
1.6131e+05,1.8188e+05,2.7600e+05,1.889e+05,62096
28241,36345,51610,39978,15563
75188,91708,1.1788e+05,78751,21270
49407,70426,1.0788e+05,89645,26840
